SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
Fis-30899,4266,Symphurus,parvus,Pygmy tonguefish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Coastal fishes,Symphurus parvus,LC,NA,Unknown,2015,0
Fis-30900,4267,Symphurus,pelicanus,Longtail tonguefish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Coastal fishes,Symphurus pelicanus,LC,NA,Unknown,2015,0
Fis-25013,4268,Symphurus,piger,Deepwater tonguefish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Coastal fishes,Symphurus piger,LC,NA,Unknown,2015,0
Fis-25014,4269,Symphurus,pusillus,Northern tonguefish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Coastal fishes,Symphurus pusillus,LC,NA,Unknown,2015,0
Fis-115352,4270,Symphurus,urospilus,Spottail tonguefish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Coastal fishes,Symphurus urospilus,LC,NA,Unknown,2015,0
Fis-30820,4271,Hollardia,meadi,Spotted spikefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Triacanthodidae,Coastal fishes,Hollardia meadi,NA,NA,NA,NA,NA
Fis-24854,4272,Parahollardia,lineata,Jambeau,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Triacanthodidae,Coastal fishes,Parahollardia lineata,LC,NA,Unknown,2015,0
Fis-30760,4273,Aluterus,heudelotii,Dotterel filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Aluterus heudelotii,LC,NA,Unknown,2015,0
Fis-24409,4274,Aluterus,monoceros,Unicorn leatherjacket filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Aluterus monoceros,LC,NA,Unknown,2015,0
Fis-24410,4275,Aluterus,scriptus,Scribbled leatherjacket filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Aluterus scriptus,LC,NA,Unknown,2015,0
Fis-30772,4276,Balistes,polylepis,Finescale triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Coastal fishes,Balistes polylepis,LC,NA,Unknown,2010,0
Fis-24477,4277,Cantherhines,macrocerus,American whitespotted filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Cantherhines macrocerus,LC,NA,Unknown,2015,0
Fis-24478,4278,Canthidermis,maculata,Rough triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Coastal fishes,Canthidermis maculata,LC,NA,Stable,2015,0
Fis-24479,4279,Canthidermis,sufflamen,Ocean triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Coastal fishes,Canthidermis sufflamen,LC,NA,Stable,2015,0
Fis-24788,4280,Monacanthus,ciliatus,Fringed filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Monacanthus ciliatus,LC,NA,Unknown,2015,0
Fis-24789,4281,Stephanolepis,hispidus,Planehead filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Stephanolepis hispidus,LC,NA,Unknown,2015,0
Fis-30844,4283,Monacanthus,tuckeri,Slender filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Monacanthus tuckeri,LC,NA,Unknown,2015,0
Fis-25039,4284,Xanthichthys,mento,Redtail triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Coastal fishes,Xanthichthys mento,LC,NA,Unknown,2010,0
Fis-25040,4285,Xanthichthys,ringens,Sargassum triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Coastal fishes,Xanthichthys ringens,LC,NA,Stable,2015,0
Fis-24724,4286,Lactophrys,bicaudalis,Spotted trunkfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Coastal fishes,Lactophrys bicaudalis,LC,NA,Unknown,2015,0
Fis-49970,4287,Acanthostracion,polygonius,Honeycomb cowfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Coastal fishes,Acanthostracion polygonius,LC,NA,Unknown,2015,0
Fis-24480,4291,Canthigaster,rostrata,Caribbean sharpnose-puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Coastal fishes,Canthigaster rostrata,LC,NA,Unknown,2014,0
Fis-136019,4292,Lagocephalus,lagocephalus,Oceanic puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Coastal fishes,Lagocephalus lagocephalus,LC,NA,Unknown,2014,0
Fis-24999,4293,Sphoeroides,annulatus,Bullseye puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Coastal fishes,Sphoeroides annulatus,LC,NA,Unknown,2010,0
Fis-30892,4294,Sphoeroides,dorsalis,Marbled puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Coastal fishes,Sphoeroides dorsalis,LC,NA,Unknown,2014,0
Fis-25000,4295,Sphoeroides,lobatus,Longnose puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Coastal fishes,Sphoeroides lobatus,LC,NA,Unknown,2010,0
Fis-25001,4296,Sphoeroides,pachygaster,Blunthead puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Coastal fishes,Sphoeroides pachygaster,LC,NA,Unknown,2014,0
W-Bra-104066,60352,Platidia,anomioides,NA,Animalia,Brachiopoda,Articulata,Terebratulida,Platidiidae,NA,Platidia anomioides,NA,NA,NA,NA,NA
Fis-30893,4297,Sphoeroides,parvus,Least puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Coastal fishes,Sphoeroides parvus,LC,NA,Unknown,2014,0
Fis-24494,4299,Chilomycterus,antennatus,Bridled burrfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Coastal fishes,Chilomycterus antennatus,LC,NA,Unknown,2015,0
Fis-30779,4300,Chilomycterus,antillarum,Web burrfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Coastal fishes,Chilomycterus antillarum,LC,NA,Unknown,2015,0
Fis-30780,4304,Chiloscyllium,griseum,Grey bambooshark,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Hemiscylliidae,Sharks,Chiloscyllium griseum,NT,NA,Unknown,2003,1
Fis-24448,4305,Atelomycterus,marmoratus,Coral catshark,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Sharks,Atelomycterus marmoratus,NT,NA,Unknown,2003,1
Fis-30911,4306,Acanthurus,achilles,Achilles tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Coastal fishes,Acanthurus achilles,LC,NA,Stable,2012,0
Fis-115360,4307,Acanthurus,bariene,Black-spot surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Coastal fishes,Acanthurus bariene,LC,NA,Unknown,2012,0
Fis-30914,4311,Stonogobiops,xanthorhinica,Yellownose prawn-goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coastal fishes,Stonogobiops xanthorhinica,NA,NA,NA,NA,NA
Fis-30916,4313,Normanichthys,crockeri,Mote sculpin,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Normanichthyidae,Coastal fishes,Normanichthys crockeri,NA,NA,NA,NA,NA
Fis-30920,4318,Barbourisia,rufa,Velvet whalefish,Animalia,Chordata,Actinopterygii,Cetomimiformes,Barbourisiidae,Coastal fishes,Barbourisia rufa,LC,NA,Unknown,2015,0
Fis-30921,4319,Parazen,pacificus,Parazen,Animalia,Chordata,Actinopterygii,Zeiformes,Parazenidae,Coastal fishes,Parazen pacificus,NA,NA,NA,NA,NA
Fis-25056,4322,Istigobius,ornatus,Ornate goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coastal fishes,Istigobius ornatus,LC,NA,Unknown,2016,0
Fis-25057,4323,Banjos,banjos,Banjofish,Animalia,Chordata,Actinopterygii,Perciformes,Banjosidae,Coastal fishes,Banjos banjos,NA,NA,NA,NA,NA
Fis-25058,4324,Istigobius,rigilius,Rigilius goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coastal fishes,Istigobius rigilius,LC,NA,Unknown,2010,0
Fis-25059,4325,Istigobius,nigroocellatus,Black-spotted goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coastal fishes,Istigobius nigroocellatus,NA,NA,NA,NA,NA
Fis-132548,4326,Leucoraja,naevus,Cuckoo ray,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Sharks,Leucoraja naevus,LC,NA,Unknown,2015,0
Fis-25061,4328,Istigobius,decoratus,Decorated goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coastal fishes,Istigobius decoratus,NA,NA,NA,NA,NA
Fis-30925,4329,Raja,montagui,Spotted ray,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Sharks,Raja montagui,LC,NA,Stable,2007,0
Fis-25062,4330,Myliobatis,aquila,Common eagle ray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Sharks,Myliobatis aquila,DD,NA,Unknown,2009,NA
Fis-25063,4332,Dinolestes,lewini,Long-finned pike,Animalia,Chordata,Actinopterygii,Perciformes,Dinolestidae,Coastal fishes,Dinolestes lewini,NA,NA,NA,NA,NA
Fis-58175,4333,Lycodes,esmarkii,Greater eelpout,Animalia,Chordata,Actinopterygii,Perciformes,Zoarcidae,Coastal fishes,Lycodes esmarkii,NA,NA,NA,NA,NA
Fis-25064,4336,Istigobius,campbelli,NA,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coastal fishes,Istigobius campbelli,NA,NA,NA,NA,NA
Fis-25065,4337,Istigobius,spence,Pearl goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coastal fishes,Istigobius spence,LC,NA,Unknown,2016,0
Fis-30928,4338,Leptobrama,muelleri,Beachsalmon,Animalia,Chordata,Actinopterygii,Perciformes,Leptobramidae,Coastal fishes,Leptobrama muelleri,NA,NA,NA,NA,NA
Fis-30929,4339,Rhinoprenes,pentanemus,Threadfin scat,Animalia,Chordata,Actinopterygii,Perciformes,Ephippidae,Coastal fishes,Rhinoprenes pentanemus,NA,NA,NA,NA,NA
Fis-25066,4340,Stegastes,albifasciatus,Whitebar gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes albifasciatus,NA,NA,NA,NA,NA
Fis-25067,4341,Enoplosus,armatus,Old wife,Animalia,Chordata,Actinopterygii,Perciformes,Enoplosidae,Coastal fishes,Enoplosus armatus,NA,NA,NA,NA,NA
Fis-25068,4343,Stegastes,altus,Japanese gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes altus,NA,NA,NA,NA,NA
Fis-25069,4344,Stegastes,apicalis,Australian gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes apicalis,NA,NA,NA,NA,NA
Fis-25070,4345,Stegastes,aureus,Golden gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes aureus,NA,NA,NA,NA,NA
Fis-25072,4347,Stegastes,fasciolatus,Pacific gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes fasciolatus,NA,NA,NA,NA,NA
Fis-25073,4348,Stegastes,gascoynei,Coral sea gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes gascoynei,LC,NA,Decreasing,2010,0
Fis-25074,4350,Stegastes,limbatus,Ebony gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes limbatus,NA,NA,NA,NA,NA
Fis-165782,4351,Stegastes,punctatus,Blunt snout gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes punctatus,NA,NA,NA,NA,NA
Fis-25076,4352,Stegastes,nigricans,Dusky farmerfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes nigricans,NA,NA,NA,NA,NA
Fis-25077,4353,Stegastes,obreptus,Western gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Coastal fishes,Stegastes obreptus,NA,NA,NA,NA,NA
Fis-25078,4355,Calotomus,carolinus,Carolines parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Coastal fishes,Calotomus carolinus,LC,NA,Unknown,2012,0
Fis-25080,4357,Calotomus,spinidens,Spinytooth parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Coastal fishes,Calotomus spinidens,LC,NA,Unknown,2012,0
Fis-25081,4358,Calotomus,viridescens,Viridescent parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Coastal fishes,Calotomus viridescens,LC,NA,Unknown,2012,0
Fis-25083,4360,Leptoscarus,vaigiensis,Marbled parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Coastal fishes,Leptoscarus vaigiensis,LC,NA,Unknown,2012,0
Fis-25084,4361,Pseudamia,amblyuroptera,White-jawed cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Coastal fishes,Pseudamia amblyuroptera,NA,NA,NA,NA,NA
Fis-30933,4362,Pseudamia,gelatinosa,Gelatinous cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Coastal fishes,Pseudamia gelatinosa,NA,NA,NA,NA,NA
Fis-30934,4363,Pseudamia,hayashii,Hayashi's cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Coastal fishes,Pseudamia hayashii,NA,NA,NA,NA,NA
Fis-30936,4365,Pseudamia,zonata,Paddlefish cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Coastal fishes,Pseudamia zonata,NA,NA,NA,NA,NA
Fis-25086,4367,Pervagor,aspricaudus,Orangetail filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Pervagor aspricaudus,LC,NA,Unknown,2016,0
Fis-25087,4368,Pervagor,janthinosoma,Blackbar filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Pervagor janthinosoma,LC,NA,Stable,2016,0
Fis-25088,4370,Pervagor,melanocephalus,Redtail filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Pervagor melanocephalus,LC,NA,Stable,2016,0
Fis-25089,4371,Pervagor,nigrolineatus,Blacklined filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Pervagor nigrolineatus,LC,NA,Stable,2016,0
Fis-30938,4372,Pervagor,randalli,NA,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Pervagor randalli,NA,NA,NA,NA,NA
Fis-25090,4373,Pervagor,spilosoma,Fantail filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Coastal fishes,Pervagor spilosoma,LC,NA,Stable,2016,0
Fis-25091,4375,Ptereleotris,evides,Blackfin dartfish,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,Coastal fishes,Ptereleotris evides,LC,NA,Unknown,2016,0
Fis-30940,4376,Ptereleotris,grammica,Lined dartfish,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,Coastal fishes,Ptereleotris grammica,LC,NA,Unknown,2016,0
Fis-25092,4377,Ptereleotris,hanae,Blue hana goby,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,Coastal fishes,Ptereleotris hanae,LC,NA,Unknown,2016,0
Fis-25093,4378,Ptereleotris,heteroptera,Blacktail goby,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,Coastal fishes,Ptereleotris heteroptera,LC,NA,Unknown,2016,0
Fis-25095,4381,Ptereleotris,microlepis,Blue gudgeon,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,Coastal fishes,Ptereleotris microlepis,NA,NA,NA,NA,NA
Fis-30942,4382,Ptereleotris,monoptera,Lyre-tail dart-goby,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,Coastal fishes,Ptereleotris monoptera,LC,NA,Unknown,2016,0
Fis-25096,4384,Ptereleotris,zebra,Chinese zebra goby,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,Coastal fishes,Ptereleotris zebra,LC,NA,Unknown,2016,0
Fis-25097,4385,Cirripectes,alboapicalis,Blackblotch blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes alboapicalis,LC,NA,Stable,2014,0
Fis-30944,4386,Cirripectes,auritus,Blackflap blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes auritus,LC,NA,Stable,2014,0
Fis-25098,4387,Cirripectes,castaneus,Chestnut eyelash-blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes castaneus,LC,NA,Stable,2014,0
Fis-30945,4388,Cirripectes,chelomatus,Lady Musgrave blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes chelomatus,LC,NA,Stable,2014,0
Fis-25099,4389,Cirripectes,filamentosus,Filamentous blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes filamentosus,LC,NA,Unknown,2010,0
Fis-30946,4390,Cirripectes,fuscoguttatus,Spotted blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes fuscoguttatus,LC,NA,Stable,2014,0
Fis-30947,4391,Cirripectes,gilberti,Gilbert's blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes gilberti,LC,NA,Stable,2014,0
Fis-30948,4392,Cirripectes,hutchinsi,Hutchins' blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes hutchinsi,LC,NA,Stable,2014,0
Fis-30949,4393,Cirripectes,imitator,Imitator blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes imitator,LC,NA,Stable,2014,0
Fis-30952,4397,Cirripectes,perustus,Flaming blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes perustus,LC,NA,Stable,2014,0
Fis-25101,4398,Cirripectes,polyzona,NA,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes polyzona,LC,NA,Stable,2014,0
Fis-25102,4399,Cirripectes,quagga,Squiggly blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes quagga,LC,NA,Stable,2014,0
Fis-30954,4401,Cirripectes,springeri,Springer's blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes springeri,LC,NA,Stable,2014,0
Fis-30955,4402,Cirripectes,stigmaticus,Red-streaked blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes stigmaticus,LC,NA,Stable,2014,0
Fis-25104,4404,Cirripectes,variolosus,Red-speckled blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coastal fishes,Cirripectes variolosus,LC,NA,Stable,2014,0
Fis-30957,4406,Suezichthys,aylingi,Crimson cleaner fish,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coastal fishes,Suezichthys aylingi,LC,NA,Unknown,2010,0
Fis-25105,4407,Suezichthys,gracilis,Slender wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coastal fishes,Suezichthys gracilis,LC,NA,Unknown,2010,0
Fis-30958,4408,Suezichthys,soelae,Soela wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coastal fishes,Suezichthys soelae,LC,NA,Unknown,2010,0
Fis-30960,4412,Suezichthys,arquatus,Rainbow slender wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coastal fishes,Suezichthys arquatus,LC,NA,Unknown,2010,0
Fis-30962,4414,Blennodesmus,scapularis,Ocellate eel blenny,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,Coastal fishes,Blennodesmus scapularis,LC,NA,Unknown,2010,0
Fis-25110,4417,Congrogadus,spinifer,Spiny eel-blenny,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,Coastal fishes,Congrogadus spinifer,NA,NA,NA,NA,NA
Fis-25111,4419,Congrogadus,subducens,Carpet eel-blenny,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,Coastal fishes,Congrogadus subducens,NA,NA,NA,NA,NA
Fis-30965,4421,Halidesmus,scapularis,Snakelet,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,Coastal fishes,Halidesmus scapularis,NA,NA,NA,NA,NA
Fis-30966,4423,Halimuraena,hexagonata,NA,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,Coastal fishes,Halimuraena hexagonata,NA,NA,NA,NA,NA
Fis-30968,4425,Halimuraena,shakai,Zulu snakelet,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,Coastal fishes,Halimuraena shakai,LC,NA,Unknown,2018,0
Fis-25113,4428,Haliophis,guttatus,African eel blenny,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,Coastal fishes,Haliophis guttatus,NA,NA,NA,NA,NA
Fis-30975,4433,Pholidichthys,leucotaenia,Convict blenny,Animalia,Chordata,Actinopterygii,Perciformes,Pholidichthyidae,Coastal fishes,Pholidichthys leucotaenia,NA,NA,NA,NA,NA
Fis-30979,4438,Scombrolabrax,heterolepis,Longfin escolar,Animalia,Chordata,Actinopterygii,Perciformes,Scombrolabracidae,Coastal fishes,Scombrolabrax heterolepis,LC,NA,Decreasing,2015,0
Fis-25116,4441,Carangoides,chrysophrys,Longnose trevally,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Coastal fishes,Carangoides chrysophrys,LC,NA,Unknown,2016,0
Fis-25117,4443,Carangoides,malabaricus,Malabar trevally,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Coastal fishes,Carangoides malabaricus,LC,NA,Unknown,2016,0
Fis-25118,4444,Upeneus,moluccensis,Goldband goatfish,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Coastal fishes,Upeneus moluccensis,LC,NA,Stable,2016,0
Fis-30980,4445,Upeneus,sulphureus,Sulphur goatfish,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Coastal fishes,Upeneus sulphureus,LC,NA,Stable,2016,0
Fis-25119,4447,Pomadasys,maculatus,Saddle grunt,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Coastal fishes,Pomadasys maculatus,LC,NA,Unknown,2010,0
Fis-25120,4448,Pentaprion,longimanus,Longfin mojarra,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,Coastal fishes,Pentaprion longimanus,LC,NA,Unknown,2016,0
Fis-160824,4449,Photopectoralis,bindus,Orangefin ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Photopectoralis bindus,NA,NA,NA,NA,NA
Fis-161056,4450,Equulites,elongatus,Slender ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Equulites elongatus,NA,NA,NA,NA,NA
Fis-25123,4451,Leiognathus,equulus,Common ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Leiognathus equulus,LC,NA,Unknown,2017,0
Fis-167503,4452,Aurigequula,fasciata,Striped ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Aurigequula fasciata,LC,NA,Stable,2017,0
Fis-161059,4453,Equulites,leuciscus,Whipfin ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Equulites leuciscus,LC,NA,Unknown,2017,0
Fis-161066,4454,Eubleekeria,splendens,Splendid ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Eubleekeria splendens,LC,NA,Stable,2012,0
Fis-25127,4455,Secutor,insidiator,Pugnose ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Secutor insidiator,NA,NA,NA,NA,NA
Fis-3828,4456,Siganus,canaliculatus,White-spotted spinefoot,Animalia,Chordata,Actinopterygii,Perciformes,Siganidae,Coastal fishes,Siganus canaliculatus,LC,NA,Unknown,2016,0
Fis-25128,4457,Siganus,spinus,Little spinefoot,Animalia,Chordata,Actinopterygii,Perciformes,Siganidae,Coastal fishes,Siganus spinus,LC,NA,Unknown,2016,0
Fis-25129,4458,Terapon,jarbua,Jarbua terapon,Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,Coastal fishes,Terapon jarbua,LC,NA,Unknown,2017,0
Fis-30981,4459,Amarsipus,carlsbergi,Amarsipa,Animalia,Chordata,Actinopterygii,Perciformes,Amarsipidae,Coastal fishes,Amarsipus carlsbergi,NA,NA,NA,NA,NA
Fis-25130,4460,Epinephelus,fuscoguttatus,Brown-marbled grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Coastal fishes,Epinephelus fuscoguttatus,VU,A2bd+4bd,Decreasing,2018,2
Fis-25131,4461,Epinephelus,tauvina,Greasy grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Coastal fishes,Epinephelus tauvina,DD,NA,Unknown,2018,NA
Fis-25132,4462,Gazza,minuta,Toothpony,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,Coastal fishes,Gazza minuta,LC,NA,Unknown,2017,0
Fis-30982,4463,Gerres,filamentosus,Whipfin silver-biddy,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,Coastal fishes,Gerres filamentosus,LC,NA,Unknown,2017,0
Fis-25134,4465,Diagramma,pictum,Painted sweetlips,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Coastal fishes,Diagramma pictum,NA,NA,NA,NA,NA
Fis-25135,4466,Pseudobalistes,fuscus,Yellow-spotted triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Coastal fishes,Pseudobalistes fuscus,NA,NA,NA,NA,NA
Fis-30983,4467,Saurida,micropectoralis,Shortfin lizardfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Coastal fishes,Saurida micropectoralis,NA,NA,NA,NA,NA
Fis-150150,4469,Leptomelanosoma,indicum,Indian threadfin,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,Coastal fishes,Leptomelanosoma indicum,NA,NA,NA,NA,NA
Fis-25138,4470,Polydactylus,sextarius,Blackspot threadfin,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,Coastal fishes,Polydactylus sextarius,NA,NA,NA,NA,NA
W-Bra-235615,60358,Terebratalia,transversa,lampshell,Animalia,Brachiopoda,Articulata,Terebratulida,Laqueidae,NA,Terebratalia transversa,NA,NA,NA,NA,NA
Fis-25150,4485,Dactyloptena,orientalis,Oriental flying gurnard,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Dactylopteridae,Coastal fishes,Dactyloptena orientalis,LC,NA,Unknown,2016,0
