SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
W-Msc-533273,148142,Persicula,sagittata,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Cystiscidae,Gastropods,Persicula sagittata,NA,NA,NA,NA,NA
SLB-177168,148152,Armina,muelleri,NA,Animalia,Mollusca,Gastropoda,Nudibranchia,Arminidae,Gastropods,Armina muelleri,NA,NA,NA,NA,NA
W-Msc-504859,148154,Carditamera,plata,NA,Animalia,Mollusca,Bivalvia,Veneroida,Carditidae,Bivalves,Carditamera plata,NA,NA,NA,NA,NA
W-Msc-523856,148203,Epitonium,georgettinum,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,Gastropods,Epitonium georgettinum,NA,NA,NA,NA,NA
W-Msc-420380,148363,Eucyclotoma,stegeri,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Turridae,Gastropods,Eucyclotoma stegeri,NA,NA,NA,NA,NA
W-Msc-505963,148410,Aulacomya,atra,NA,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Bivalves,Aulacomya atra,NA,NA,NA,NA,NA
W-Msc-533115,148474,Zebina,vitrinella,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Rissoidae,Gastropods,Zebina vitrinella,NA,NA,NA,NA,NA
W-Msc-533267,148487,Persicula,interruptolineata,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Cystiscidae,Gastropods,Persicula interruptolineata,NA,NA,NA,NA,NA
W-Msc-241253,148500,Tritonia,vorax,voracious Tritonia,Animalia,Mollusca,Gastropoda,Nudibranchia,Tritoniidae,Gastropods,Tritonia vorax,NA,NA,NA,NA,NA
SLB-177429,148507,Fusinus,chocolatus,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Gastropods,Fusinus chocolatus,NA,NA,NA,NA,NA
SLB-177499,148586,Mysella,minuscula,NA,Animalia,Mollusca,Bivalvia,Veneroida,Leptonidae,Bivalves,Mysella minuscula,NA,NA,NA,NA,NA
SLB-177548,148638,Hemipolygona,mcgintyi,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Gastropods,Hemipolygona mcgintyi,NA,NA,NA,NA,NA
W-Msc-419943,148699,Phyllonotus,oculatus,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Gastropods,Phyllonotus oculatus,NA,NA,NA,NA,NA
